,question,answer
343,IFS一级数据对象存储在哪个文件夹中？,IFS一级数据对象存储在CSST_L1/IFS文件夹中。
344,CSST-IFS的一级数据处理过程中会产生哪四种类型的一级数据文件？,CSST-IFS的一级数据处理过程中会产生参考数据、RSS数据、CUBE数据及数据处理过程中产生的中间数据这四种类型的一级数据文件。
345,星冕仪模块的数据文件名命名规则是什么？,星冕仪模块的数据文件名命名规则为：CSST_PREFIX_type_yyyymmddHHMMSS_obsid_L1_process.fits，其中PREFIX为文件名前缀，包括模块名称和相机名称，type表示目标类型，yyyymmdd是八位数观测日期，HHMMSS是六位数UT开始（结束）观测时间，obsid是观测编号，L1表示文件为1级科学观测数据，VER为0级数据对应的版本号，process为4位字符串，代表4步基本数据处理流程。
346,星冕仪模块中的process字符串代表哪四步基本数据处理流程？,星冕仪模块中的process字符串代表四步基本数据处理流程，由字母表示，包括：a（已经过仪器效应改正），b（已经过平场矫正），c（已扣除背景），d（已扣除宇宙线）。已进行流程由字母表示，未进行流程用“_”占位。
347,星冕仪一级数据对象存储在哪个路径下？,星冕仪一级数据对象存储在CSST_L1/CPIC文件夹中。
348,CSST-HSTDM的探测器工作频率是多少？,CSST-HSTDM的探测器工作频率为410-510 GHz。
349,csst-hstdm-l1处理后产生的主要数据文件有哪些？,csst-hstdm-l1处理后产生的主要数据文件包括：经csst-hstdm-l1处理后的1级科学数据SCI，处理过程中整合的辅助信息AUX，以及质量控制QC的数据，用于评估1级数据的数据质量。
350,无缝光谱精确位置定标工作包的输出是什么？,无缝光谱2级图像的精确的位置信息
351,基于目标源的一维光谱抽取工作包首先进行什么操作？,基于主天光参考文件进行天光背景扣除
352,在光谱提取中，什么是Stamp图像？,Stamp图像是在光谱图像中截取出目标源某级像的光谱图像
353,基于目标源的PSF一维光谱抽取工作包的主要任务是什么？,对已经做了WCS、平场、CTE等改正之后的无缝光谱图像，进行抽谱
354,正向建模一维光谱抽取工作包最终得到哪些参数？,源的分类（星系、恒星、AGN）及其相应的物理性质参数星表，以及红移
355,无缝光谱的粗分类与红移测量工作包分类结果有哪些？,恒星，星系，类星体，其它
356,粗分类与红移测量工作包使用什么方法对点源进行分类？,PCAZ方法
357,数据检查模块在无缝光谱的粗分类与红移测量工作包中起什么作用？,对从需要处理的一维光谱源的三个波段光谱数据及其数据质量、测光数据、相应的仪器psf等数据进行检查，符合完备与质量标准的光谱进行下一步的分类与红移处理
358,基于目标源的PSF一维光谱提取工作包输入包括哪些内容？,光谱图像；配置文件；目标源星表；flat field cube；响应曲线；对应成像
359,正向建模一维光谱抽取过程主要分为几个步骤？,正向建模一维光谱抽取过程主要分为3个步骤：1）使用flat Fλ作为1 维光谱模型构建2 维光谱图像；2）使用polynomials/step-function 作为1 维光谱模型构建2 维光谱图像；3）使用光谱库进行模版合成构建2 维光谱图像。
360,哈勃空间望远镜属于哪种类型的望远镜？,哈勃空间望远镜是大型轨道天文台之一。
361,第一批运行的空间望远镜是在哪一年发射的？,第一批运行的空间望远镜是在1968年发射的美国轨道天文台OAO-2，以及1971年在苏联太空站Salyut 1上的Orion 1紫外线望远镜。
362,莱曼·斯皮策在哪一年提出了空间望远镜的构想？,莱曼·斯皮策在1946年提出了空间望远镜的构想。
363,地面天文台进行天文学研究时会受到哪些影响？,在地面天文台进行天文学研究时，会受到大气层对电磁辐射的过滤和扭曲（闪烁）影响，以及地球上人工光源的光害影响。
364,为什么空间望远镜的角分辨率通常比地面望远镜高？,空间望远镜的角分辨率通常比地面望远镜高，是因为在大气层外围绕地球运行的望远镜，既不会受到大气层的闪烁影响，也不会受到地球上人工光源的光害影响。
365,哪些电磁波频谱的波长范围在大气层外进行天文观测时不会被严重衰减？,电磁波频谱中光学窗和无线电窗这两个波长范围在大气层外进行天文观测时不会被严重衰减。
366,空间望远镜相比于地面望远镜有哪些主要的缺点？,空间望远镜的建造成本比地面望远镜高得多，并且由于它们的位置，空间望远镜也极难维护。
367,截至2018年，空间望远镜和天文台的未来可用性取决于什么？,截至2018年，空间望远镜和天文台的未来可用性取决于及时和充足的资金。
368,詹姆斯·韦伯空间望远镜是处于哪个状态的空间望远镜？,詹姆斯·韦伯空间望远镜是处于服役中的空间望远镜。
369,SPICA是处于哪个阶段的空间望远镜项目？,SPICA是处于计划中的空间望远镜项目。
370,无缝光谱1级数据可用性标记工作包的编号是什么？,无缝光谱1级数据可用性标记工作包的编号是KSC-SJ2-PK-06
371,无缝光谱数据处理在哪些波长区间的误差有特定要求？,在255至400nm以及900至1000nm的波长区间，对于信噪比大于10的点源，数据处理过程引入的误差≯0.1星等；对于信噪比为5的点源，数据处理过程引入的误差≯0.2星等。
372,生成任务用户可使用的面积1.1平方度无缝光谱2级产品的处理时间要求是多少？,生成任务用户可使用的面积1.1平方度无缝光谱2级产品的处理时间≤72小时。
373,多通道成像仪数据处理的极限星等要求是多少？,多通道成像仪数据处理的极限星等要求中，紫外和可见光极深场的3个波段累积观测，其中≥1个波段的极深场极限星等≥30等（信噪比S/N≥5，点源，孔径星等，0.36角秒直径，AB星等，下同），其余2个波段的极限深度平均≥29等。
374,MCI模块1级产品处理时间的要求是多少？,对于一天内多通道成像仪观测产生的对应0级数据，生成MCI模块1级产品的处理时间≤24小时。
375,积分视场光谱仪在B波段对目标源的光谱单元信噪比要求是多少？,在0.2角秒的空间分辨单元内对B波段面亮度≤17等（AB）/平方角秒的目标源，所得单个光谱单元在B波段有效波长处（~440nm）的信噪比S/N≥10。
376,积分视场光谱仪B波段定标的波长不确定度要求是多少？,积分视场光谱仪B波段定标的波长不确定度（RMS）优于0.035nm。
377,系外行星成像星冕仪图像处理后的残余噪声要求是多少倍理论观测噪声？,系外行星成像星冕仪图像处理后的残余噪声要求≯3倍理论观测噪声，包括相机读出噪声、相机暗电流和天空背景强度。
378,太赫兹模块在200s积分时间下的信号灵敏度要求是多少？,太赫兹模块在200s积分时间情况下，数据处理系统应测量到的信号灵敏度≤150mK（3σ、100kHz带宽）。
379,一般观测申请数据处理需要生产哪些数据产品？,一般观测申请数据处理需要生产0级和1级数据产品。
380,IFS 参考数据准备工作包是第几节？,IFS 参考数据准备工作包是第8.3.3.3节。
381,IFS 仪器效应改正工作包对应哪个处理步骤？,IFS 仪器效应改正工作包对应第8.3.3.4节的处理步骤。
382,IFS 数据处理中包括哪个工作包用于宇宙线扣除？,IFS 数据处理中包括IFS 宇宙线扣除工作包用于宇宙线扣除，是第8.3.3.5节。
383,IFS 的光谱抽取工作包是哪一节提到的？,IFS 的光谱抽取工作包是第8.3.3.7节提到的。
384,IFS 波长定标工作包的主要任务是什么？,从文档中找不到答案
385,IFS 多次曝光合成几何框架的工作包属于哪一环节？,IFS 多次曝光合成几何框架的工作包属于第8.3.3.15节。
386,IFS 天光背景扣除工作包位于哪一节？,IFS 天光背景扣除工作包位于第8.3.3.17节。
387,IFS 数据立方空间像素合并是第几工作包？,IFS 数据立方空间像素合并是第21工作包，即8.3.3.21 IFS 数据立方空间像素合并工作包。
388,系外行星成像星冕仪数据处理的主要功能是什么？,系外行星成像星冕仪数据处理的主要功能在第8.4.1节描述。
389,观测效应处理流水线是系外行星成像星冕仪数据处理的哪一部分？,观测效应处理流水线是系外行星成像星冕仪数据处理的第8.4.2.4部分。
390,曝光时间的关键字是什么？,曝光时间的关键字是EXPTIME。
391,TransFinder软件版本的关键字和数据类型分别是什么？,TransFinder软件版本的关键字是TRANSWV，数据类型是str。
392,MCI subtraction数据文件中HDU1的扩展类型是什么？,MCI subtraction数据文件中HDU1的扩展类型是IMAGE。
393,SCI扩展的版本号数据类型是什么？,SCI扩展的版本号（EXTVER）数据类型是int。
394,观测数据的物理单位是什么？,观测数据的物理单位是ADU（模数转换单元）。
395,文件名CSST_MCI_C1_EXDF_20231218141341_20231218141841_20100000001_07_L0_V01中的文件类型是什么？,文件名中的文件类型是EXDF。
396,天区坐标系统的关键字是什么？,天区坐标系统的关键字是RADECSYS。
397,望远镜名称的关键字和数据类型分别是什么？,望远镜名称的关键字是TELESCOP，数据类型是str4。
398,目标名称的关键字以及它的格式是什么？,目标名称的关键字是TARGET，它的格式是(hhmmss.s+ddmmss)的字符串，总长度为15个字符。
399,第1通道的CCD增益是多少？,第1通道的CCD增益是1.529999971 e-/ADU。
400,激光干涉空间天线开路者号的运营方是谁？,欧洲空间局
401,激光干涉空间天线开路者号的国际卫星标识符是什么？,2015-070A
402,激光干涉空间天线开路者号的旅行距离计划是多久？,1年（可能延长）
403,激光干涉空间天线开路者号的制造方是谁？,空中客车国防航天
404,激光干涉空间天线开路者号的发射质量是多少？,"1,910千克（4,210磅）"
405,激光干涉空间天线开路者号的发射日期是什么时候？,2015年12月3日 04:04:00UTC
406,激光干涉空间天线开路者号使用的运载火箭是什么？,织女星运载火箭
407,激光干涉空间天线开路者号的发射场在哪里？,圭亚那航天中心
408,激光干涉空间天线开路者号的轨道近拱点距离是多少？,"500,000 km（310,000 mi）"
409,激光干涉空间天线开路者号的预算费用是多少？,4亿欧元
410,IFS是什么的缩写？,IFS是光学设施积分视场光谱仪（Integral Field Spectrometer）的缩写。
411,IFS是哪个设施的重要组成部分？,IFS是空间站多功能光学设施的重要组成部分。
412,IFS将在哪一波段实现0.2角秒分辨率的成像光谱观测？,IFS将在0.35-1.0微米波段实现0.2角秒分辨率的成像光谱观测。
413,IFS的积分视场单元共有多少个空间单元？,IFS的积分视场单元共有32x32个空间单元。
414,IFS的总视场大小是多少？,IFS的总视场大小为6.0角秒*6.0角秒。
415,IFS的光谱分辨率是多少？,IFS的光谱分辨率为R³1000，在最短波长（0.35um）处为R=1000。
416,IFS的关键技术包括哪些？,IFS的关键技术包括高精度积分视场单元工程化技术和高精密的积分视场单元集成技术。
417,IFS像切分器由多少个小切分镜组成？,IFS的像切分器由32个小切分镜组成，每个切分镜尺寸为0.25mm×8.0mm。
418,IFS的视场面积是如何计算的？,IFS的视场面积是在空间分辨率固定的前提下，等于每片视场分割单元视场和像切分数的乘积。像切分器选用了不少于30个像切分数（实际设计32片），按单元分辨率0.2角秒计算，视场面积大于6.0×6.0角秒。
419,IFS的数据处理流程主要分为哪两条流水线？,IFS的数据处理流程主要分为星上定标处理流水线和科学观测处理流水线。
420,爱因斯坦探针卫星的任务类型是什么？,X射线探测
421,爱因斯坦探针卫星的运营方有哪些？,中国科学院、欧洲空间局
422,爱因斯坦探针卫星的发射质量是多少？,≤ 1450公斤
423,爱因斯坦探针卫星的发射日期是什么时候？,2024年1月9日15时03分
424,爱因斯坦探针卫星使用的运载火箭是什么？,长征二号丙运载火箭（遥三十）
425,爱因斯坦探针卫星的轨道半长轴是多少？,6964公里
426,爱因斯坦探针卫星搭载了什么仪表？,宽视场X射线望远镜（WXT）和后随观测X射线望远镜（FXT）
427,爱因斯坦探针卫星的科学目标是什么？,针对软X射线开展快速时域巡天监测，旨在发现和探索宇宙中的高能暂现和爆发天体、监测天体的X射线光变。发现和描述宇宙X射线瞬变体，特别是大量微弱的、遥远的和罕见的X射线瞬变体。发现和描述原本正常休眠的黑洞的X射线爆发。搜索与引力波事件有关的X射线源，并对其进行精确定位。
428,宽视场X射线望远镜的探测能段是多少？,0.5–4keV
429,爱因斯坦探针卫星初步探测到了哪些现象？,快速瞬变X射线EP240315a，明亮的X射线耀斑EP240305a，和EPW20240219aa
430,系外行星成像星冕仪可以对什么进行直接成像的观测？,系外行星成像星冕仪可以对原行星盘进行直接成像的观测。
431,原行星盘的主要信号是由什么造成的散射星光？,在光学和近红外波段，原行星盘的主要信号是由微米尺度的尘埃造成的散射星光。
432,原行星盘的质量远低于其孕育行星系统所需要的质量，可能的原因是什么？,可能的解释包括原行星盘中的材料可能是望远镜难以捕获的，实际的原行星盘质量比我们看到的大；或者恒星和原行星盘系统可能一直在从原行星盘外部积聚新材料，不断把创造它们的分子云中的物质吸积到盘中。
433,星冕仪模块将用于测量什么？,星冕仪模块将用于测量近邻恒星的外星黄道尘（Exozodiacal Dust，简称EzD）分布情况。
434,Absil等人在2011文章中分析表明主序星周围存在的大量什么，是未来直接成像探测系外类地行星的主要噪声源？,Absil等人在2011文章中分析表明主序星周围存在的大量EzD（外星黄道尘），是未来直接成像探测系外类地行星的主要噪声源。
435,系外行星成像星冕仪可以得到从哪里发出的散射光？,系外行星成像星冕仪可以得到从盘的表面层发出的散射光。
436,银河系中超过多少百分比的恒星会演化为白矮星？,银河系中超过90%的恒星会演化为白矮星。
437,在白矮星系统WD1145+017周围发现了什么？,在白矮星系统WD1145+017周围发现了被摧毁的行星残骸存在。
438,CPIC计划观测几颗目前已知的最亮的白矮星？,CPIC计划观测5颗目前已知的最亮的白矮星。
439,通过CPIC观测研究环双星系统的行星，可以给出此类行星如何形成的什么？,通过CPIC观测研究环双星系统的行星，并且跟踪它们的运行方向，可以首次给出此类行星是如何形成的强烈证据。
440,宇宙再电离时期，21cm谱线强度与什么呈反相关关系？,宇宙再电离时期，21cm谱线强度在空间的分布和提供电离光子的天体在空间的分布呈反相关关系。
441,再电离的不同主导者在21cm辐射上会产生什么特征？,再电离的不同主导者（AGN或星系）会在21cm辐射上产生比较显著的拓扑结构特征，AGN主导的21cm辐射结构较平滑且特征尺度大，而星系主导的21cm辐射结构较离散且特征尺度小。
442,CSST预期观测的红移5以上星系和AGN大样本将如何帮助我们？,CSST预期观测的红移5以上星系和AGN大样本将和下一代21cm巡天高效结合，帮助我们探索宇宙再电离的详细电离过程。
443,原星系团是什么的前身？,原星系团是星系团的前身。
444,CSST主巡天将发现哪些红移和质量的原星系团？,CSST主巡天的400平方度深场和10+10平方度极深场内将发现大量红移3以上、塌缩质量在10^15太阳质量（类似Coma星系团）或以上的原星系团，包括红移5.5以上的原星系团。
445,如何可靠的计算原星系团的性质及成员星系的物理性质？,结合无缝光谱和成像数据，我们可以可靠的计算原星系团的性质及成员星系的物理性质。
446,搜寻高红移原星系团的方法有哪些？,搜寻高红移原星系团的方法包括观测具有很强射电辐射的大质量星系，以及在星系红移巡天时发现高密度区域然后计算确认为原星系团。
447,Jiang et al.（2018）报告了一个怎样的原星系团？,Jiang et al.（2018）报告了一个红移5.7的巨型原星系团，其大小约35^3立方共动兆秒差距，最终会塌缩为质量约3.6×10^15太阳质量的星系团。
448,一个原星系团在特定红移下能否塌缩成真正的星系团主要取决于什么？,一个原星系团在特定红移下能否塌缩成真正的星系团主要取决于尺度和overdensity大小。
449,利用CSST的样本，我们可以研究哪两类科学问题？,利用CSST的样本，我们可以研究两类科学问题：一是研究成员星系的各种物理性质及与场星系性质的对比；二是研究这些原星系团的性质及对宇宙学的意义。
450,0级处理流水线主要负责什么任务？,0级处理流水线即是图像评估流水线。在每天的观测数据下来后，首先进行QC0的科学可用性标记，然后立即促动图像评估工作包，进行图像的类型检测，将图像分成正常图像和密集星场(星系团超深场)图像，完成0级处理流水线。
451,单幅图像处理流水线在什么条件下被触发？,单幅图像处理流水线在每天的数据经过图像评估流水线后，判断为正常图像的情况下被触发。目前假设探测器为CCD。在辅助图像及基本参数文件以及仪器效应改正得到的带权重的图像和flag图像都具备的条件下，单幅图像处理流水线可以被触发运行。
452,密集星场图像处理流水线的触发条件是什么？,密集星场图像处理流水线在每天的数据经过图像评估流水线后，判断为特殊图像中的密集星场图像的情况下被触发。
453,2级处理流水线可以获得哪些数据产品？,2级处理流水线可以加工获得其他数据产品（1-2级），主要包括通过超深场图像合并流水线获得合并图像数据文件，通过超深场星表提取流水线获得合并的多波段星表，以及通过图像相减流水线获得相减图像数据文件，并进一步生成暂现源alerts和变源星表。
454,超深场图像合并流水线的主要功能是什么？,超深场图像合并流水线使用同一天区相同波段的多次观测图像，进行图像合并。合并后的结果为合并图像数据文件，相应的元数据保存到数据库中。
455,超深场星表提取流水线的输入是什么？,超深场星表提取流水线的输入是基于获得的单次曝光测光星表，对单波段的超深场合并图像形成超深场合并星表，最后针对多波段的数据获得合并的多波段星表，作为2级数据产品存入数据库。
456,图像相减流水线的输出包括哪些内容？,图像相减流水线的输出为相减图像数据文件，并进一步生成暂现源alerts和变源星表，相应的元数据保存到数据库中。
457,MCI的0级数据可用性标记工作包包含哪些模块？,MCI的0级数据可用性标记工作包包含三个模块，分别为：主要参数检查模块，次要参数检查模块，导星数据模块。
458,MCI图像评估工作包的输入信息有哪些？,MCI图像评估工作包的输入信息为0级MCI数据图像和一个外部参考信息表-天区覆盖信息表。
459,单次曝光图像处理-仪器效应改正工作包主要进行哪些改正？,单次曝光图像处理-仪器效应改正工作包主要进行一系列的仪器效应改正，包括crosstalk和overscan扣除、bias和dark扣除、CTE效应改正、Flat改正、宇宙线改正、非线性改正以及卫星干扰条纹改正。
460,CSST预计可探测的最远距离用什么单位表示？,CSST预计可探测的最远距离可达Mpc。
461,CSST的象元分辨率是多少？,CSST的象元分辨率是75mas。
462,CSST的天测定位精度是多少？,CSST的天测定位精度约0.7mas（21等目标源）。
463,CSST的自行测量精度可以达到多少？,CSST的自行测量精度可达0.1-0.2 mas/yr，设平均历元差4-8年。
464,利用U和V波段测光结合无缝光谱数据，挑选极端贫金属星的成功率是多少？,利用U 和V（或者等效V）波段测光并结合无缝光谱数据，可以高于50-80%的成功率挑选出[Fe/H]<-2.5 的极端贫金属星。
465,SDSS和LAMOST测量的银河系总质量大约是多少？,利用SDSS 以及LAMOST 中80kpc 以内的恒星数据测量银河系总质量约10^12太阳质量，对应的维里半径达200kpc。
466,空间站多功能光学设施在20星等时的信噪比预期是多少？,空间站多功能光学设施在20星等时的信噪比将达到50。
467,空间站多功能光学设施的空间分辨率大约是多少？,空间站多功能光学设施的空间分辨率大约为0.15arcsec。
468,CSST预计将获得多少个具有不同年龄和质量的球状星团的紫外-光学测光数据？,CSST预计将获得超过100个具有不同年龄和质量的球状星团（河内+河外）的紫外-光学测光数据。
469,ΛCDM模型在银河系和近邻矮星系检验时遇到了哪些挑战？,ΛCDM模型在银河系和近邻矮星系检验时遇到的挑战包括卫星星系缺失问题、质量过大问题以及银河系最大的两个卫星星系间的质量差过大，卫星星系成薄盘分布等。
470,`Oumuamua和Borisov的表面特性有何不同？,`Oumuamua的表面特性更类似于小行星，而Borisov则在距离8 au的区域展现出明显的由尘埃和气体组成的彗发结构。
471,哈勃太空望远镜如何帮助确定`Oumuamua的轨道？,利用哈勃太空望远镜的高分辨率数据，人类对于`Oumuamua的轨道进行了精确确定并发现了其非引力摄动。
472,利用哈勃望远镜观测到了2I/Borisov的什么特征？,利用哈勃拍摄的一系列高分辨率光学图像，人类得以测定2I/Borisov的喷流分布以及其对非引力摄动的影响。
473,CSST的多通道成像仪(MCI)可以识别和发现哪些线？,CSST的多通道成像仪（MCI）配置了近紫外/NUV滤光片，可以识别和发现活动小天体中的CS（259埃）和OH（3080埃）线。
474,哪些族类的活动性小天体中存在CS和OH线？,木星族彗星、主带彗星、半人马天体、Kuiper带离散盘、长周期彗星、奥尔特云及星际彗星中存在CS（259埃）和OH（3080埃）线。
475,LIGO工作组在哪一年首次直接探测到引力波？,LIGO工作组于2016年正式宣布首次直接探测到了来自两个恒星级黑洞并合产生的引力波。
476,GW170817/GRB170817A/AT2017gfo是什么事件？,GW170817/GRB170817A/AT2017gfo是人类首次通过引力波和多波段电磁波（伽玛，X射线，紫外，光学，近红外，射电）探测到的同一天文暂现源，这标志着多信使多波段天文观测的新纪元，并证实了双中子星并合产生引力波暴、短伽玛暴(Short GRB)、千新星(Kilonova)、宇宙中的超重元素等物理预言。
477,CSST观测引力波暴的光学对应体主要取决于哪些因素？,CSST观测引力波暴的光学对应体主要取决于两个因素：第一是双中子星或者中子星-黑洞并合有哪些电磁辐射及其辐射的典型时标为何；第二是CSST望远镜的优势和劣势为何。
478,CSST对引力波暴的光学对应体观测有什么优势？,CSST对引力波暴的光学对应体观测最基本的优势就是高空间分辨率和大视场的结合，即在较强背景下的弱点源观测，能够探测到地面上难以发现的弱源。
479,为什么CSST对引力波暴的光学对应体观测应侧重于细致观测？,因为CSST这种大卫星的机动性一般不是很好，卫星运控也很复杂，因此频繁地调整望远镜对每一个引力波暴候选体进行实时观测是不现实的。如果利用CSST的巡天观测来随机地搜寻变源，以期与引力波观测巧合地发现同一事件，相关研究表明其效率很低。因此CSST对引力波暴的光学对应体观测应该侧重于细致观测而非首次发现。
480,普朗克巡天者的NSSDC ID是什么？,2009-026B
481,普朗克巡天者是由哪些组织机构负责的？,"ESA,泰雷兹阿莱尼亚宇航公司"
482,普朗克巡天者的发射日期是什么时候？,2009年5月14日 13:12:02 UTC
483,普朗克巡天者在哪被发射升空？,"圭亚那太空中心,法属圭亚那"
484,普朗克巡天者使用的发射载体是什么？,亚利安五号运载火箭
485,普朗克巡天者的任务时长是多久？,从2009-5-14 到 2013-10-23
486,普朗克巡天者的质量是多少？,"1,950千克（4,300磅）"
487,普朗克巡天者的轨道位置在哪里？,离地球1.5×106 km(L2 拉格朗日点)
488,普朗克巡天者的设计目标是什么？,以史无前例的高灵敏的角解析力获取宇宙微波背景辐射在整个天空的各向异性图。普朗克巡天者将提供几个宇宙学和天体物理学的主要讯息，例如，测试早期宇宙的理论和宇宙结构的起源。
489,普朗克巡天者之前的企画案名称是什么？,宇宙背景辐射各向异性卫星和背景各向异性测量（Cosmic Background Radiation Anisotropy Satellite and Satellite for Measurement of Background Anisotropies.，缩写为COBRAS/SAMBA）
490,float64数据类型通常用于表示什么？,从文档中找不到答案
491,mag表示的是什么？,mag表示的是视星等，但在提供的信息中没有具体说明它是哪种类型的视星等。
492,什么是predicted and actual apparent magnitude之间的difference？,predicted and actual apparent magnitude之间的difference指的是预测视星等与实际观测到的视星等之间的差异。
493,neo_pro是什么的缩写？,从文档中找不到答案
494,neo_pro的数据类型是什么？,neo_pro的数据类型是float64。
495,neo_pro的[]符号代表什么意义？,在提供的信息中，[]符号与neo_pro一起出现，但没有具体解释其意义。通常，在编程和数据处理中，[]符号用于表示数组或列表，但在此上下文中的具体意义不明确。
496,概率值probability of being neos表示的是什么？,概率值probability of being neos表示的是天体被归类为近地天体（NEOs）的概率。
497,如何解释neo_pro的数值？,从文档中找不到答案，但通常，像neo_pro这样的浮点数数值可能表示某种测量值、概率或比率，具体取决于其上下文和用途。
498,mag和neo_pro在天文领域有什么关联？,从文档中找不到答案，但可能mag和neo_pro都涉及天体亮度的测量或分类，具体关联取决于它们的具体应用。
499,neo_pro数据通常用于哪些天文研究？,从文档中找不到答案，但neo_pro数据可能用于研究近地天体（NEOs）的特性、轨道和潜在威胁等方面。
500,内部平场的稳定性及变化如何监测？,定期更新，监测内部平场的稳定性及变化。
501,LED亮度-时间曲线用于获得什么参数？,测量LED亮度-时间曲线，获得LED亮度修正参数。
502,如何获得快门效应改正图像及监测其稳定性？,获得快门效应改正图像，及快门的开关曲线，并监测长期稳定性。
503,合并的地球平场参考图像用于监测什么？,获得经过合并处理后的地球平场的参考图像，监测地球平场的稳定性及变化。
504,退火数据处理后获得了哪些关于热像素的信息？,处理退火前后的本底和暗流图像，获得热像素计数（随时间的函数），监测退火有效性。
505,Post-Flash参考图像的主要用途是什么？,用于NUV和u波段的Post-Flash改正，生成Post-Flash参考图像，并监测Post-Flash LED的长期稳定性。
506,探测器的光子响应线性度是如何监测的？,获得探测器的光子响应线性度，监测长期稳定性。
507,电荷转移效率如何随时间监测？,获得探测器的电荷转移效率，监测随时间的变化。
508,巡天模块多色成像方面，主要监测哪些方面的数据变化？,巡天模块多色成像方面主要监测图像质量及稳定性、焦面比例尺和畸变的稳定性、测光零点测量及随时间变化、测光平场生成及稳定性、测光交叉定标监测、多色成像PSF建模及随时间变化、滤光片楔形检测、孔径改正（增长曲线）监测等方面的数据变化。
509,IFS在轨定标的数据处理流程主要关注哪些方面？,IFS在轨定标的数据处理流程主要关注图像的稳定性、质量、波长定标、辐射亮度定标等，通过对定标数据和常规科学观测数据的分析，为数据处理系统IFS流水线提供必要的定标参考文件。
510,FWHM的数据类型是什么？,FWHM的数据类型是int（但在某些描述中可能也提到其值为浮点数，但在此问答中根据给出的内容确定为int）
511,RA_OFF表示什么偏移量，单位是？,RA_OFF表示median RA offset from CAL_REF，单位是arcsec（角秒）
512,NS_FLUX表示什么数量？,NS_FLUX表示total number of stars detected（检测到的恒星总数）
513,MED_CLR表示什么颜色的中位数？,从文档中找不到答案（因为MED_CLR描述为median color of matched stars，但没有明确说明是什么颜色的中位数）
514,SKY_MAG估计的背景是多少(mag/arcsec^2)？,SKY_MAG估计的背景是21.9735 (mag/arcsec^2)
515,MAG_LIM的5-sigma检测极限是多少？,MAG_LIM的5-sigma检测极限是22.6978
516,V_QC1表示什么版本？,V_QC1表示version of QC1（QC1的版本）
517,S_QC1的状态值有哪些可能？,S_QC1的状态值有0/1/2
518,x_image表示什么位置？,x_image表示object position along x (pixel)，即对象沿x轴的位置（像素）
519,aph表示什么类型的星等？,aph表示apparent magnitude（视星等）
520,硬X射线调制望远镜卫星的英文简称是什么？,硬X射线调制望远镜卫星（英语：Hard X-ray Modulation Telescope，简称HXMT）
521,硬X射线调制望远镜卫星是在哪一年发射的？,硬X射线调制望远镜卫星是在2017年发射的。
522,硬X射线调制望远镜卫星的发射场是哪里？,硬X射线调制望远镜卫星的发射场是酒泉卫星发射中心。
523,硬X射线调制望远镜卫星的轨道是什么类型？,硬X射线调制望远镜卫星的轨道是太阳同步轨道。
524,硬X射线调制望远镜卫星的任务类型是什么？,硬X射线调制望远镜卫星的任务类型是天文观测。
525,硬X射线调制望远镜卫星的运营方是哪个机构？,硬X射线调制望远镜卫星的运营方是中国科学院。
526,硬X射线调制望远镜卫星上有哪些望远镜载荷？,硬X射线调制望远镜卫星上搭载有三个望远镜载荷，分别对应高、中、低能区的波段，分别是高能X射线望远镜（HE）、中能X射线望远镜（ME）和低能X射线望远镜（LE）。
527,高能X射线望远镜采用的是什么结构？,高能X射线望远镜采用Phoswich结构（英语：Phoswich detector），采用NaI和CsI复合晶体。
528,慧眼卫星观测到的GRO J008-57脉冲星表面磁场强度是多少？,慧眼卫星观测到的GRO J008-57脉冲星表面磁场强度约为10亿特斯拉。
529,硬X射线调制望远镜卫星在哪一年观测到快速射电暴可能起源于磁星爆发？,硬X射线调制望远镜卫星在2021年观测到快速射电暴可能起源于磁星爆发。
530,表10.176是在轨定标的哪个模块的列表？,探测器暗电流工作包模块
531,表10.177涉及IFS的哪种定标工作包？,内部光谱灯定标工作包
532,表10.181列出了IFS的哪种定标工作包模块？,星团几何定标工作包模块
533,表10.186是关于哪个仪器的探测器暗电流工作包模块列表？,CPIC
534,表10.190中的'探测器PTC 工作包模块'属于哪个仪器的在轨定标？,MCI
535,表11.6是关于哪种图像仿真工作包的模块列表？,MCI 图像仿真工作包
536,表12.2描述了科学数据处理系统与哪个系统的输入输出接口？,有效载荷运控管理系统
537,表14.1是关于什么级别的CSST科学观测数据产品表？,0级
538,表14.4涉及哪个模块的数据处理功能要求？,巡天模块多色成像
539,表14.8是关于哪个仪器的数据处理功能要求可追踪性列表？,积分视场光谱仪
540,引力波源主要来自于什么事件？,引力波源主要来自于双黑洞并合事件。
541,引力波源一般被认为是否有电磁对应体？,一般认为引力波源没有电磁对应体（即使有，一般认为其电磁辐射也非常弱）。
542,二代探测器时代能唯一确定寄主星系群的波源比例是多少？,在二代探测器时代，约有5%的波源可以唯一确定其寄主星系群。
543,CSST空间巡天项目的两个主要优点是什么？,CSST空间巡天项目的优点在于巡天面积大，低红移的星系样本完整。
544,超大质量黑洞暂现吸积事件包括哪些？,超大质量黑洞暂现吸积事件包括黑洞潮汐撕裂恒星事件（TDE）、变脸活动星系核（changing-look AGN）等。
