,content,summary
230,天测多历元位置数据解算工作包编号是什么？,天测多历元位置数据解算工作包编号是KSC-SJ9-PK-05。
231,人造卫星和空间碎片等地心轨道的人工干扰目标的剔除成功率是多少？,对进入视场的人造卫星、空间碎片等地心轨道的人工干扰目标，剔除成功率为95%。
232,快速移动目标的检测识别工作包编号是什么？,天测多帧图像上快速移动目标的检测识别工作包编号是KSC-SJ9-PK-06。
233,巡天模块无缝光谱数据处理的表14.15主要说明了什么？,表14.15主要说明了巡天模块无缝光谱数据处理的技术要求和可追踪性，包括数据处理过程引入的误差、红移精度等。
234,在无缝光谱数据处理中，哪些工作包与数据处理时间有关？,在无缝光谱数据处理中，与数据处理时间有关的工作包包括巡天模块1级处理流水线（KSC-SJ2-PK-01~16）和巡天模块2级处理总流水线（KSC-SJ2-PK-16~23）。
235,无缝光谱数据处理对红移精度的要求是什么？,无缝光谱数据处理对红移精度的要求是在巡天主要红移区间z=0.5-1.5，对于发射线星系，归一化标准偏差（σNMAD=∆z/(1+z)）平均≯0.005；对于宁静星系，σNMAD平均≯0.01。对于z<0.5星系红移测量精度平均≯0.003。
236,在多通道成像仪数据处理中，极深场的极限星等要求是多少？,在多通道成像仪数据处理中，紫外和可见光极深场的3个波段累积观测，其中≥1个波段的极深场极限星等≥30等（信噪比S/N≥5，点源，孔径星等，0.36角秒直径，AB星等）。
237,积分视场光谱仪数据处理技术要求的主要目标是什么？,积分视场光谱仪数据处理技术要求的主要目标是在曝光时间满足单次300s并20次曝光累计情况下，数据处理系统应测量得到的天体的信号指标。
238,系外行星成像星冕仪数据处理后，图像残余噪声的要求是什么？,系外行星成像星冕仪数据处理后，图像残余噪声≯3倍理论观测噪声，包括相机读出噪声，相机暗电流和天空背景强度。
239,太赫兹模块数据处理在什么条件下能测量到的信号灵敏度≤150mK？,在200s积分时间情况下，太赫兹模块数据处理系统应测量到的信号灵敏度≤150mK（3σ、100kHz带宽）。
240,一般观测申请数据处理需要生产哪些级别的数据产品？,一般观测申请数据处理需要生产0级和1级数据产品。
241,机遇目标观测数据处理的技术要求是什么？,机遇目标观测数据处理的技术要求是生产0级和1级数据产品。
242,机遇目标观测数据处理需要生产哪些级别的数据产品？,机遇目标观测数据处理需要生产0级和1级数据产品。
243,CTE效应是什么？,CTE效应是电荷转移效应，指的是在电荷传输过程中，由于像素内电荷的转移导致像素间电荷分布的不均匀现象。
244,Flat改正是什么？,Flat改正是一种图像处理方法，用于消除由于探测器各像素对光响应不一致导致的图像亮度不均匀现象。它通过拍摄一张均匀照亮的平场图像，并以其为基准对其他图像进行校正，使图像的亮度分布更为均匀。
245,IFS宇宙线扣除工作包的功能是什么？,IFS宇宙线扣除工作包的功能是在IFS单次曝光图像中扣除宇宙线。它通过搜寻图像中的宇宙线，将其出现的位置及周边像元标记在mask中，并将宇宙线从科学图像中扣除，得到去除宇宙线后的科学图像。
246,IFS宇宙线搜寻是如何实现的？,IFS宇宙线搜寻是通过在输入的科学图像中搜索亮度异常的像素点，这些点通常表现为远高于周围像素的亮度，并且形状和大小与宇宙线造成的痕迹相符。一旦发现这样的像素点，就在mask文件中记录其像元位置，并将宇宙线mask文件补录入输入文件。
247,IFS光谱成像位置追踪工作包是如何工作的？,IFS光谱成像位置追踪工作包利用平场图像追踪32条切片在CCD上的色散后的成像位置。它通过沿色散方向等间隔抽取列信息，对每一列抽取流量信息，搜寻被切片点亮的区域，记录中心位置。然后对这些中线位置坐标进行多项式拟合，输出拟合参数用于后续抽谱工作。
248,IFS光谱抽取工作包的主要功能是什么？,IFS光谱抽取工作包的主要功能是对输入图像进行光谱抽取。它根据光谱追踪的结果，定位切片光谱带位置，对切片边缘效应进行修正，并依据用户的空间采样需求，将光谱带切分成多条光谱，得到抽谱后的科学图像并输出。
249,IFS像元-波长对应关系工作包是如何确定像元与波长的关系的？,IFS像元-波长对应关系工作包通过拟合像元-波长（PTOW）关系来确定像元位置与波长的对应关系。它首先搜寻抽谱后定标灯图像中的发射线，拟合谱线的峰值位置。然后通过与定标灯灯谱的实验室波长匹配，认证谱线。最后确定像元位置与实验室波长的对应关系，并进行拟合，输出像元-波长对应关系文件。
250,IFS波长定标工作包如何进行多普勒效应改正？,IFS波长定标工作包通过卫星轨道运行参数进行多普勒效应改正。它首先依据像元-波长对应关系确定每个像元位置对应的波长。然后根据卫星轨道运行参数，计算由于望远镜轨道运动带来的多普勒位移，并对每条光谱的波长进行改正，以消除多普勒效应的影响。
251,IFS流量定标工作包是如何实现流量定标的？,IFS流量定标工作包利用流量标准星进行流量定标。它首先通过比对波长定标后的标准星光谱和其本征光谱，计算出随波长变化的响应曲线。然后利用该响应曲线，改正波长定标后的单次曝光光谱，得到波长流量定标后的光谱文件，从而实现流量定标。
252,IFS LSF 提取工作包的主要任务是什么？,IFS LSF（谱线扩展函数）提取工作包的主要任务是利用定标灯提取和测量谱线扩展函数（LSF）。它通过将所有波长定标后的定标灯谱线融合为一条灯谱，并利用灯谱间的亚像素位移增加采样点。然后对所有谱线形状进行轮廓拟合，得出LSF信息。
253,IFS天体测量标定工作包包含哪两个主要组件？,IFS天体测量标定工作包包含两个主要组件：第一个是测光图像配准法，通过将IFS图像与已知WCS参数的图像配准来获得对应像素的天球坐标并解算出WCS参数；第二个是MCI辅助定标法，通过MCI观测的视场内的星点来辅助解算出IFS的WCS参数。
254,这份文档是关于哪个工程项目的？,这份文档是关于载人空间站工程巡天空间望远镜科学数据处理系统软件系统设计说明的。
255,"文档中提到的""之江实验室编辑版""是什么意思？","从文档中无法直接确定""之江实验室编辑版""的具体含义，但可能表示这份文档是由之江实验室进行编辑或整理的版本。"
256,文档的版本号是什么？,文档的版本号是02.01。
257,初始版本的文档是由谁创建的？,初始版本的文档是由罗常青创建的。
258,"文档中的""系统任务分析""部分主要涵盖哪些内容？",系统任务分析部分主要涵盖对系统需要完成的任务和目标进行详细分析的内容。
259,"""数据处理的工作模式""是如何描述的？",数据处理的工作模式在文档中位于4.2.1节，但具体描述未在提供的内容中展示。
260,系统如何处理巡天模块多色成像数据？,系统处理巡天模块多色成像数据的方式在6.1.1.1节有提及，但具体细节未在提供的内容中展示。
261,"文档中提到的""数据库内容需求""有哪些？",数据库内容需求在6.1.2.1节有提及，但具体需求内容未在提供的内容中展示。
262,数据库的功能需求是什么？,数据库的功能需求在6.1.2.2节有提及，但具体需求内容未在提供的内容中展示。
263,流水线运行管理主要涵盖哪些内容？,流水线运行管理的内容在6.1.3节有提及，但具体涵盖内容未在提供的内容中展示。
264,数据产品有哪些具体的要求？,数据产品的具体要求在6.2.1节有提及，但具体要求内容未在提供的内容中展示。
265,巡天模块多色成像数据处理的技术指标是什么？,巡天模块多色成像数据处理的技术指标在6.2.2.1节有提及，但具体指标内容未在提供的内容中展示。
266,多通道成像仪的数据处理有哪些指标要求？,多通道成像仪的数据处理指标要求在6.2.2.4节有提及，但具体指标内容未在提供的内容中展示。
267,"""机遇目标观测数据处理""的技术指标有哪些要求？",机遇目标观测数据处理的技术指标要求在6.2.2.9节有提及，但具体指标内容未在提供的内容中展示。
268,文档修改记录的备注部分有什么重要信息？,文档修改记录的备注部分提供了修改人、修改日期以及修改内容的简要描述，是重要的版本控制信息。
269,太赫兹模块的原始谱线数据包含哪些信息？,太赫兹模块的原始谱线数据包含每条谱线通道的积分开始、结束时间或者积分时间等信息。
270,太赫兹模块状态信息包含哪些状态信息？,太赫兹模块状态信息包含探测器、本振源、低温放大器、常温中频、数字频谱仪、中频输出总功率、校准黑体温度、校准镜的位置、观测模式、观测频率及边带等状态信息。
271,巡天模块多色成像1级数据的主要内容是什么？,巡天模块多色成像1级数据主要包括完成仪器效应改正、宇宙线去除、背景光去除、畸变改正、天体测量定位、天体流量定标的单幅图像数据，及其对应的权重图像、flag图像数据及相关元信息文件。
272,巡天模块无缝光谱1级数据的主要科学数据是什么？,巡天模块无缝光谱1级数据的主要科学数据是完成仪器效应改正、宇宙线去除、背景光去除、畸变改正、天体测量定位等的单幅及合并二维光谱科学数据，及其对应的权重图像、flag图像数据。
273,多通道成像仪1级数据的主要内容是什么？,多通道成像仪1级数据主要内容包括完成仪器效应改正、宇宙线去除、背景光去除、天体测量定位、天体流量定标的单幅图像数据，及其对应的权重图像、mask图像数据及相关元信息文件。
274,积分视场光谱仪1级数据的主要内容是什么？,积分视场光谱仪1级数据主要内容包括完成仪器效应改正、宇宙线去除、光谱追迹过程后的单次曝光的积分视场光谱数据。
275,系外行星成像星冕仪1级数据的主要内容是什么？,系外行星成像星冕仪1级数据主要内容包括完成仪器效应改正、宇宙线去除、背景光去除的单幅图像数据，以及mask图像数据。
276,什么是流量定标的精度？,流量定标的精度是指通过测量和校准，确定天体流量测量值的准确性，用随机差（RMS）来量化，表示测量值与其真实值之间的偏差程度。
277,多色成像数据处理指标要求流量定标的精度达到多少？,"多色成像数据处理指标要求流量定标的精度在g, r, i, z波段达到≤1%（RMS随机差），u波段≤2%，NUV波段和y波段≤5%。"
278,多色成像数据处理中PSF重构的指标要求是什么？,多色成像数据处理对PSF重构的指标要求是PSF椭率（二阶矩定义）误差≯10^-4，PSF特征半径（二阶矩定义）相对误差≯1‰。
279,天体测量数据处理技术指标中点源目标的定位精度是多少？,天体测量数据处理技术指标中点源目标的定位精度达到g波段0.5毫角秒@20mag（精度为单倍随机误差RMS）。
280,无缝光谱数据处理指标要求中光谱红移精度是多少？,无缝光谱数据处理指标要求中，在巡天主要红移区间z=0.5-1.5，对于发射线星系，光谱红移精度的归一化标准偏差（σNMAD）平均≯0.005；对于宁静星系，σNMAD平均≯0.01。对于z<0.5星系红移测量精度平均≯0.003。
281,多通道成像仪数据处理指标要求是什么？,多通道成像仪数据处理指标要求在紫外和可见光极深场的3个波段累积观测中，≥1个波段的极深场极限星等≥30等，其余2个波段的极限深度平均≥29等；点源目标天球位置的定标精度达到r波段0.5毫角秒@20mag，流量定标的精度达到所有波段≤2% (1%系统偏差，1%数据处理误差)。
282,IFS积分光谱的吸收线测量工作包的主要任务是什么？,IFS积分光谱的吸收线测量工作包的主要任务是对光谱进行吸收线拟合，拟合使用与IFS光谱波长覆盖范围相近的恒星光谱库，进而提取星系的恒星运动学参数，以及等值宽度等科学参数。
283,如何对IFS的空间像素合并后的光谱进行吸收线拟合？,对IFS的空间像素合并后的光谱进行吸收线拟合时，会利用与IFS光谱波长覆盖范围相近的恒星光谱库进行拟合，从而得到星系的恒星运动学参数，以及等值宽度等科学参数。
284,IFS积分光谱的发射线测量工作包采用了哪两种发射线拟合方式？,IFS积分光谱的发射线测量工作包采用了两种发射线拟合方式：1) 吸收线和发射线同时拟合；2) 积分光谱扣除利用吸收线工作包拟合得到的恒星连续谱，只留存发射线信息做拟合。
285,IFS积分光谱的星族分析工作包可以得到哪些参数？,IFS积分光谱的星族分析工作包可以得到年龄、金属丰度、尘埃消光、恒星质光比等参数。
286,IFS二级数据生成工作包的主要任务是什么？,IFS二级数据生成工作包的主要任务是将经过处理的IFS数据（包括恒星运动学参数、气体运动学参数、气体发射线流量、星族参数等）打包成fits文件，并经过质量检验和关键字索引后，存入数据库，作为IFS数据处理软件的标准二级数据发布。
287,IFS二级数据生成工作包包含了哪些功能模块？,IFS二级数据生成工作包包含了吸收线特征拟合、发射线特征测量、星族特征测量等功能模块。
288,什么是星冕仪数据处理流水线？,星冕仪数据处理流水线是对星冕仪0级数据（原始观测数据）进行处理的一系列流程，包括图像筛选和评估、仪器效应修正、观测效应修正等功能，经过处理后得到去除仪器效应和观测效应的星冕仪1级图像数据。
289,星冕仪数据处理系统0-1级功能主要有哪些？,星冕仪数据处理系统0-1级功能主要包括数据质量检查及标记、参考图像评估和处理、仪器效应修正、天空背景处理、宇宙线标记和1级数据生成等。
290,星冕仪数据处理流水线包括哪些次级流水线？,星冕仪数据处理流水线包括图像评估流水线、参考图像处理流水线、仪器效应改正流水线和观测效应处理流水线等次级流水线。
291,数据可用性标记及分类工作包的功能是什么？,数据可用性标记及分类工作包的功能是针对经过QC0判断后的数据图像和参考图像，根据图像噪声及PSF等信息对图像质量进行评估，识别出低质量图像，并对输入图像进行识别和分类。
292,参考图像处理工作包主要对哪些图像进行处理？,参考图像处理工作包主要针对本底、暗场、平场、背景等参考图像进行合并、建模、仪器效应修正等操作，生成星冕仪1级数据中的参考图像数据。
293,仪器效应改正流水线的主要任务是什么？,仪器效应改正流水线的主要任务是利用输入的参考图像，对科学图像进行overscan、本底校正、暗场扣除、CTE、平场校正等处理，以消除或降低仪器效应对观测数据的影响。
294,观测效应处理流水线包含哪些处理步骤？,观测效应处理流水线包含背景扣除和宇宙线标记等处理步骤，对科学图像进行进一步的处理，以消除或降低观测效应对观测数据的影响。
295,星冕仪数据处理软件如何生成1级数据？,星冕仪数据处理软件通过图像评估、参考图像处理、仪器效应改正和观测效应处理等流水线处理步骤，对0级数据进行处理，最终生成去除仪器效应和观测效应的星冕仪1级图像数据。
296,表10.172是什么模块的模块列表？,表10.172是在轨定标-MCI的点扩散函数工作包模块列表。
297,表10.175包含了哪些工作包模块？,表10.175包含了在轨定标-MCI的探测器本底与噪声工作包模块列表。
298,表10.177是哪个工作包的模块列表？,表10.177是在轨定标-IFS的内部光谱灯定标工作包模块列表。
299,在轨定标-IFS的哪些工作包与探测器相关？,在轨定标-IFS中与探测器相关的工作包包括探测器PTC工作包、探测器监测工作包、探测器本底与噪声工作包、探测器暗电流工作包等。
300,表10.182列出了哪项工作包的模块？,表10.182列出了在轨定标-IFS的外部光谱波长定标工作包模块。
301,哪个模块与IFS的定位工作相关？,IFS的定位工作相关的模块是在轨定标-IFS中的IFS定位工作包模块。
302,表11.1是关于什么的工程仿真工作包？,表11.1是关于望远镜的工程仿真工作包。
303,表11.6的MCI图像仿真工作包包含了哪些模块？,表11.6的MCI图像仿真工作包模块列表在文档中未直接给出，因此无法从文档中直接找到答案。
304,IFS仿真软件工作包在表11的哪个位置？,IFS仿真软件工作包在表11的列表中是表11.7。
305,表12.1列出了哪些外部接口？,表12.1列出了数据处理系统的外部接口。
306,表12.2提到了哪些系统之间的输入输出接口？,表12.2提到了科学数据处理系统与有效载荷运控管理系统的输入输出接口。
307,CSST科学观测的0级数据产品表在哪张表中？,CSST科学观测的0级数据产品表在表14.1中。
308,哪些数据处理功能要求与巡天模块无缝光谱数据处理相关？,与巡天模块无缝光谱数据处理相关的数据处理功能要求在表14.6中列出。
309,哪个模块与多通道成像仪的数据处理功能要求相关？,与多通道成像仪的数据处理功能要求相关的模块在表14.7中列出。
310,表14.11包含了哪些在轨定标数据处理的功能要求？,表14.11包含了在轨定标数据处理的功能要求可追踪性列表。
311,多色成像星系红移计算工作包的主要内容是什么？,多色成像星系红移计算工作包的主要内容是关于星系红移的计算。
312,多色成像强引力透镜源计算工作包在哪个部分？,多色成像强引力透镜源计算工作包位于相关的工作包列表中，具体页码未在文档中提及。
313,多色成像恒星参数计算工作包涉及哪些内容？,多色成像恒星参数计算工作包涉及恒星参数的计算。
314,什么是天测单帧图像目标检测识别工作包？,天测单帧图像目标检测识别工作包是负责在单帧的天测图像中检测并识别目标的天文数据处理工作包。
315,天测多历元位置数据解算BCRS下天体方向、距离、自行参数的工作包是什么？,天测多历元位置数据解算BCRS下天体方向、距离、自行参数的工作包是专门用于处理和分析多历元位置数据，以求解在BCRS（Barycentric Celestial Reference System）坐标系下天体的方向、距离和自行参数的工作包。
316,无缝光谱0级数据可用性标记工作包的主要功能是什么？,无缝光谱0级数据可用性标记工作包的主要功能是标记无缝光谱0级数据的可用性。
317,无缝光谱精确位置定标工作包包含哪些步骤？,无缝光谱精确位置定标工作包包含的步骤并未在文档中明确给出，但一般可能包括数据采集、位置校正、定标参考源的选择和校准等步骤。
318,基于目标源的一维光谱抽取工作包如何工作？,基于目标源的一维光谱抽取工作包的工作流程可能包括目标源的选择、光谱数据的提取、数据处理和分析等步骤，以获取目标源的一维光谱信息。
319,无缝光谱红移优化测量工作包的作用是什么？,无缝光谱红移优化测量工作包的作用是通过优化算法对无缝光谱的红移进行更精确的测量。
320,无缝光谱恒星参数测量工作包有哪些关键内容？,无缝光谱恒星参数测量工作包的关键内容包括对恒星参数如温度、亮度、质量等的测量和分析。
321,无缝光谱高精度流量定标工作包的具体流程是什么？,无缝光谱高精度流量定标工作包的具体流程未在文档中明确给出，但通常可能包括光源选择、数据采集、流量校准、数据分析等步骤。
322,多通道成像仪数据处理主要包括哪些功能？,多通道成像仪数据处理主要包括图像评估、位置定标、流量定标、星表提取等功能。
323,0级处理流水线-图像评估流水线主要做什么？,0级处理流水线-图像评估流水线主要负责对初始的（0级）图像数据进行质量评估。
324,单次曝光图像处理-仪器效应改正工作包包含哪些步骤？,单次曝光图像处理-仪器效应改正工作包可能包含对单次曝光图像中的仪器效应进行识别、建模和改正的步骤。
325,超深场图像合并工作包的主要作用是什么？,超深场图像合并工作包的主要作用是将多个单次曝光的超深场图像进行合并，以提高图像的深度和质量。
326,天体测量中，天体三维位置运动等参数及其误差的天体测量分为哪几级？,天体测量中，天体三维位置运动等参数及其误差的天体测量分为1级和2级。其中1级包括坐标系转换、高精度定心、星表匹配、天测相对定位和太阳系快速移动目标的检测识别等功能；2级则包括高精度单帧图像相对定位、高精度天体测量和太阳系快速移动天体轨道参数确定等功能。
327,天体测量中，对于不同密度星场图像的目标检测、高精度定心和天体测量方法有何区别？,对于不同密度星场图像，天体测量采用的目标检测、高精度定心和天体测量方法有所区别。低密度星场、中等密度星场以及高密度星场分别采用不同的方法进行处理，以应对不同图像密度的特点。
328,什么是GCRS和BCRS下的天球坐标？,GCRS（Geocentric Celestial Reference System）是以地心为中心的天球坐标系统，常用于描述天体相对于地球的位置和运动。BCRS（Barycentric Celestial Reference System）是以太阳质心为中心的天球坐标系统，用于描述天体在太阳系中的位置和运动。
329,太阳系快速移动天体的检测识别是如何进行的？,太阳系快速移动天体的检测识别主要基于图像上探测到的天体的位置和运动特性。通过与外部参考星表进行交叉匹配，探测到的新目标天体经过数据质量控制后，将形成源表并发出预警，启动地面后随跟踪。
330,什么是无缝光谱系统流水线的主要任务？,无缝光谱系统流水线的主要任务是将主巡天无缝光谱探测器的0级科学数据进行处理，生成1级和2级科学数据。这包括利用参考图像和参数文件进行仪器效应改正、光谱抽取、星表制作等一系列处理过程。
331,无缝光谱系统流水线需要哪些参考图像和参数文件？,无缝光谱系统流水线需要使用的参考图像和参数文件包括偏置（bias）、不同波长的平场数据（flat）、暗场（dark）、串扰系数（crosstalk）等。这些文件在地面测试阶段提供基础参数，并通过在轨定标数据进行定期更新。
332,无缝光谱数据处理中，如何对未定标的1级科学数据进行位置定标？,对未定标的1级科学数据进行位置定标的过程包括两步：首先，通过多色成像探测器与无缝光谱探测器的相对位置进行初次定标；其次，结合整个靶面所有探测器进行二次定标，计算得到整个靶面的物理位置与天球坐标的投影映射。
333,什么是伪直接成像数据，它在无缝光谱处理中起什么作用？,伪直接成像数据是基于多色成像数据生成的与无缝光谱观测图像相匹配的数据。它在无缝光谱处理中起到辅助作用，帮助进行光谱抽取和星表制作等处理过程。
334,在无缝光谱处理中，主要采用了哪两类方法进行光谱抽取？,在无缝光谱处理中，主要采用了两类方法进行光谱抽取，分别是基于目标源的一维光谱抽取和基于正向建模的一维光谱抽取。
335,1级和2级数据合并的主要目的是什么？,1级和2级数据合并的主要目的是将各类1级和2级数据进行整理合并，形成合并后的数据，作为定期数据释放的产品。这包括二维光谱图像、参考图像数据、伪直接成像数据、点扩散函数图像网格、一维光谱科学数据、星表等多种数据类型。
336,多色成像0级数据处理有哪些主要功能？,多色成像0级数据处理的主要功能包括多色成像0级数据可用性标记检查和图像评估。其中，图像评估根据外部参考星表对图像进行评估和分类，为天体测量提供图像质量信息。
337,天体测量1级数据处理中，如何实现坐标系转换？,天体测量1级数据处理中，实现坐标系转换的功能主要是将不同坐标系（如ICRS、BCRS、GCRS等）进行相互转换，以便在数据处理过程中使用统一的坐标系统。
338,流水线编号KSC-SJ2-PL1-02是什么流水线的编号？,流水线编号KSC-SJ2-PL1-02是无缝光谱伪直接成像图像流水线的编号。
339,无缝光谱伪直接成像图像流水线处理流程主要包括哪些步骤？,无缝光谱伪直接成像图像流水线处理流程主要包括检查天区覆盖、伪直接成像生成、经过初步位置定标后的1级二维光谱处理、PSF均匀化后的无缝光谱二维图像和伪直接成像图像等步骤。
340,什么是无缝光谱精确处理流水线？,无缝光谱精确处理流水线是从数据库获取经过初步位置定标后的1级二维光谱和此次观测的无缝光谱同时曝光的多色成像图像，进行无缝光谱精确位置定标，更新1级二维光谱图像，最后得到精确位置定标的二级图像并存入数据库的流程。
341,无缝光谱精确位置定标是如何进行的？,无缝光谱精确位置定标是通过获取经过初步位置定标后的1级二维光谱和无缝光谱同时曝光的多色成像图像，进行位置定标的精确处理，更新1级二维光谱图像，从而得到精确位置定标的二级图像。
342,什么是2级处理流水线？,2级处理流水线是在经过1级处理流水线的各条流水线后，对单次曝光图像和星表以及特殊图像的1级数据图像进行进一步处理，加工获得高级数据产品（1-2级）的流程。
343,多色成像2级处理流水线的主要目的是什么？,多色成像2级处理流水线的主要目的是基于单次曝光图像和星表以及特殊图像的1级数据图像，通过图像合并、星表提取、天体分类和恒星参数估计等步骤，探测到更多的暗弱天体，对高红移天体获得更准确的形态参数，生成各种高级数据产品。
344,合并星表流水线是如何工作的？,合并星表流水线的工作方式是基于获得的单次曝光测光星表，对单波段的多次观测进行合并形成单波段合并星表，最后针对多波段的数据获得合并的信噪比更高的多波段测光星表，作为2级数据产品存入数据库。
345,PSF均匀化星表流水线的主要功能是什么？,PSF均匀化星表流水线的主要功能是基于单次曝光图像星表提取的另一种方案，采用同一天区不同滤光片的星系1级图像数据，进行多波段PSF均匀化分析，提取多波段测光数据，最终生成PSF均匀化测光星表。
346,合并图像数据流水线的主要任务是什么？,合并图像数据流水线的主要任务是使用同一天区相同波段（可能来自不同探测器）的多次观测图像，进行图像合并，合并后的结果为合并图像数据文件，相应的元数据保存到数据库中。
347,星系红移流水线是如何从多波段合并星表中提取星系红移的？,星系红移流水线从多波段合并星表中提取河外星系的多色信息，通过星系红移算法生成星系红移星表，并存入数据库中。
348,强引力透镜源表生成流水线是如何工作的？,强引力透镜源表生成流水线扫描全部可用天区的所有滤光片图像数据，证认强引力透镜事件，并形成强引力透镜数据源表，存入数据库。
349,恒星参数生成流水线是如何估计恒星的大气参数的？,恒星参数生成流水线使用全部可用天区合并的测光星表（包含7个颜色），估计其中恒星的大气参数，生成恒星大气参数星表。
350,什么是高精度流量定标流水线？,高精度流量定标流水线是使用多次曝光科学图像星表和结合基于Gaia等巡天数据构建空间站测光系统标准星表经过高精度流量定标得到CSST整个测光系统的响应曲线，并存入数据库。
351,XTENSION的值是什么？,XTENSION的值为IMAGE，表示这是一个图像扩展。
352,BITPIX的数据类型是什么？,BITPIX的值为-64，表示这是一个64位浮点数的数据类型。
353,NAXIS表示的是什么？,NAXIS表示的是数组维度的数量，其值为2，意味着这是一个二维数组。
354,NAXIS1和NAXIS2分别代表什么？,NAXIS1代表数组的第一个维度的大小，其值为2。NAXIS2代表数组的第二个维度的大小，其值为16384。
355,DATE-OBS表示什么日期？,DATE-OBS表示的是观测开始的日期，即2024-08-17T06:05:12。
356,UTCSTART和UTCEND分别是什么时间？,UTCSTART和UTCEND都表示的是相应数据开始和结束曝光的日期时间，其值均为2024-08-17T06:05:12。
357,PROID是什么的缩写？,PROID是项目ID的缩写，具体为PI_OBJECT_SCIENCYOBJ。
358,SRCTYPE的值是什么？,SRCTYPE的值为single，表示源类型为单源。
359,TELVPA代表望远镜的什么属性？,TELVPA代表望远镜的视轴垂直位置角，其值为23.4235。
360,CHOPPING、NODDING和SCANNING的布尔值分别代表什么？,CHOPPING的布尔值为TRUE，表示在切换到黑体（冷）时该值为真。NODDING的布尔值为TRUE，表示在切换到背景信号时该值为真。SCANNING的布尔值为TRUE，表示在OTF模式（可能指开普勒望远镜的Off-The-Focal-Plane模式）下操作时该值为真。
361,SCANNUM的数值表示什么？,SCANNUM的数值为30，表示在每个“开”周期内的“关”周期数。
362,TRACERR为True时表示什么？,当TRACERR为True时，表示存在跟踪误差的标志。
363,DATATYPE的值是什么？,DATATYPE的值为SPECTRAL，表示数据类型为光谱数据。
364,LO_LOCK的布尔值表示什么？,LO_LOCK的布尔值为TRUE，表示振荡器是稳定的。
365,BEFF、FOREFF分别代表什么效率？,BEFF代表波束效率，FOREFF代表前向效率，它们都是用来描述望远镜性能的重要参数。
366,积分视场光谱仪的0级数据包含哪两个探测器的数据？,积分视场光谱仪的0级数据包括1个4096*4112的蓝端探测器和1个6144*6160的红端探测器的数据。
367,CSST主巡天多色成像模块的探测器总数是多少？,CSST主巡天多色成像模块总共有31个9216×9232的探测器。
368,1级数据产品中的图像类型描述字符串有哪些？,1级数据产品中的图像类型描述字符串包括IMG、WHT、FLG等，分别对应科学图像、权重图像和特征位图像。
369,CSST主巡天无缝光谱模块的1级数据是如何命名的？,CSST主巡天无缝光谱模块的1级数据文件名命名规则与多色成像相同，通过文件主名的最后三位字符串用于区分文件类型，如IMG、WHT等。
370,什么是多通道成像仪的1级/2级数据？,多通道成像仪的0级数据经过预处理之后的数据对象称为1级/2级数据。
371,多通道成像仪的1级数据文件名命名规则是什么？,多通道成像仪的1级数据文件名命名规则如CSST_MCI_channel_type_yyyymmddHHMMSS_obsid_filter_L1_WHT.fits，其中包含了通道编号、目标类型、观测日期时间、观测编号和滤光片编号等信息。
372,积分视场光谱仪(IFS)的1级数据处理流程包括哪些软件流水线？,积分视场光谱仪(IFS)的1级数据处理流程包括两条软件流水线：RSS流水线（用于单次曝光图像位置定标）和CUBE流水线（用于生成天体光谱数据立方）。
373,IFS的1级数据产品主要有哪些数据类型？,IFS的1级数据产品主要包括RSS数据对象（单次曝光处理）、CUBE数据对象（多幅单次曝光叠加后生成）和一级参考数据对象。
374,RSS数据对象主要指的是什么？,RSS数据对象是指把红蓝两个探测器产生的0级数据对象，在完成探测器效应改正、平场改正、宇宙线扣除、位置定标等处理后生成的数据对象。
375,CSST主巡天多色成像模块的1级数据文件存储在哪些文件夹？,CSST主巡天多色成像模块的1级数据文件将存储在类似<DFS>/L1/MSC/SCIE/61605/10160000000/文件名的路径下。
376,多通道成像仪的1级数据中的权重图像是如何生成的？,多通道成像仪的1级数据中的权重图像是在原始图像（raw image）经过探测器效应改正、平场改正、宇宙线扣除、位置定标和流量定标后生成的。
377,什么是IFS的RSS数据对象？,IFS的RSS数据对象是指把红蓝两个探测器产生的0级数据对象，在完成探测器效应改正、平场改正、宇宙线扣除、位置定标等处理后生成的单次曝光处理数据对象。
378,什么是积分视场光谱仪模块(IFS)的CUBE数据对象？,IFS的CUBE数据对象是指通过对多幅单次曝光叠加后生成的天体光谱数据立方。
379,IFS的1级参考数据对象在哪里有详细定义？,IFS的1级参考数据对象将在《CSST定标参考数据定义》文档中进一步明确定义。
380,多通道成像仪模块(MCI)的探测器大小是多少？,多通道成像仪模块(MCI)的探测器大小为9216×9332。
381,图10.44表示的是什么工作的流程图？,图10.44表示的是前景星识别工作包的流程图。
382,多色成像密集星场二次位置定标工作包流程图的编号是多少？,多色成像密集星场二次位置定标工作包流程图的编号是图10.45。
383,图10.46展示了哪个工作包的流程图？,图10.46展示了多色成像识别大星系图像工作包的流程图。
384,图10.47描述的是哪个图像工作包的流程图？,图10.47描述的是多色成像识别星云图像工作包的流程图。
385,多色成像星系团建模工作包流程图的编号是多少？,多色成像星系团建模工作包流程图的编号是图10.48。
386,图10.50的流程图是关于什么的？,图10.50的流程图是关于多色成像合并星表提取工作包的。
387,多色成像2级数据可用性标记工作包流程图在图几？,多色成像2级数据可用性标记工作包流程图在图10.51。
388,图10.52是什么工作的流程图？,图10.52是天区观测覆盖分析工作包的流程图。
